Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
3.92,17,63.36,4239.068564036223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.01,0.0,0.0,0.99,0.99,92346,60,1514,923.46,582.5368314535996,923.46,0.0002359008789062,100,339349.1599999995
3.92,17,62.72,4224.551790822287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.02,0.0,0.0,0.98,0.98,92044,60,1514,920.44,586.247962155361,920.44,0.0002389097213745,100,343686.6731313136
3.92,17,62.08,2251.443417394012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.03,0.0,0.0,0.97,0.97,91742,60,1514,917.42,589.9201312144907,917.42,0.0004466581344604,100,348005.7612121218
4.0,17,64.0,3363.623532430872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,93800,362,1514,938.0,578.9017815893061,938.0,0.0002973103523254,100,335127.2727272727
4.0,17,65.91,2761.0635314563324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,92516,230,1514,925.16,580.2350746190568,925.16,0.0003621912002563,100,336672.7418181824
4.88,17,67.48,2409.0519568538707,0.0,0.0,0.0,0.02,0.03,0.0,0.0,3,0,0,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.49,0.0,0.0,0.0,0.0,1.0,1.0,91875,66,1514,918.75,588.0323700119052,918.75,0.0004175806045532,100,345782.0681818182
4.32,17,65.27,1626.2034739454095,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.49,0.0,0.01,0.0,0.0,0.99,0.99,90758,60,1514,907.58,587.1631022866383,907.58,0.0006149387359619,100,344760.50868686923
4.0,17,64.0,4562.050925069883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,93800,362,1514,938.0,578.9017815893061,938.0,0.0002208995819091,100,335127.2727272727
4.0,17,64.0,1465.0747853545056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,93800,362,1514,938.0,578.9017815893061,938.0,0.00068372964859,100,335127.2727272727
5.36,17,66.19,964.8332942275222,0.0,0.04,0.0,0.0,0.02,0.0,0.0,2,4,0,0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.47,0.0,0.05,0.0,0.0,0.95,0.95,83802,60,1514,838.02,607.8687055872535,838.02,0.0010364603996276,100,369504.3632323231
4.32,17,67.64,5359.31103217398,0.01,0.0,0.0,0.01,0.01,0.0,0.0,1,0,1,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.0,0.0,0.0,0.0,1.0,1.0,92294,156,1514,922.94,582.8098745723084,922.94,0.0001887011528015,100,339667.34989898984
4.0,17,64.0,5088.81609279076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,93800,362,1514,938.0,578.9017815893061,938.0,0.00019868850708,100,335127.2727272727
4.88,17,72.4,382.86873319251407,0.01,0.01,0.0,0.02,0.03,0.0,0.0,3,1,1,0,0.01,0.02,0.06,0.0,0.0,0.0,0.0,0.03,0.5,0.0,0.05,0.0,0.0,0.95,0.95,80710,60,1514,807.1,610.8042305688526,807.1,0.0026139020919799,100,373081.8080808081
4.0,17,64.0,846.5679546592175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,93800,362,1514,938.0,578.9017815893061,938.0,0.0011829900741577,100,335127.2727272727
5.2,17,69.7,713.9277306947951,0.01,0.0,0.0,0.04,0.05,0.0,0.0,5,0,1,0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.45,0.02,0.06,0.03,0.0,0.94,0.94,82459,60,1514,824.59,596.8802748669555,824.59,0.0014024996757507,100,356266.06252525235
4.56,17,66.15,579.4822340916438,0.0,0.0,0.0,0.01,0.03,0.0,0.0,3,0,0,0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.45,0.0,0.02,0.04,0.0,0.98,0.98,87511,60,1514,875.11,586.180013289261,875.11,0.0017256879806518,100,343607.00797979813
4.0,17,64.0,6161.751138533862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,93800,362,1514,938.0,578.9017815893061,938.0,0.0001642417907714,100,335127.2727272727
