Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
25.6,6,83.1,24.091737259416004,0.0,0.2,0.0,0.1,0.5,0.0,0.0,5,2,0,0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,1.0,1.0,1056,66,262,105.6,71.34143256201126,105.6,0.0415080070495605,10,5089.6
22.4,6,76.7,48.49988494542713,0.1,0.1,0.0,0.2,0.5,0.0,0.0,5,1,1,0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.1,0.0,0.0,0.9,0.9,1209,60,344,120.9,95.6712542454048,120.9,0.0247709989547729,10,9152.988888888887
20.0,6,62.5,50.915712319155496,0.1,0.0,0.0,0.1,0.5,0.0,0.0,5,0,1,0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,916,60,317,91.6,79.45676672114072,91.6,0.0210585117340087,10,6313.377777777777
22.8,6,116.7,23.428253520686194,0.0,0.2,0.1,0.2,0.4,0.0,0.0,4,2,0,1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1270,60,230,127.0,72.54883412800879,127.0,0.0486690998077392,10,5263.333333333333
15.6,6,150.5,30.76126034285245,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,1576,60,235,157.6,74.44938623730293,157.6,0.0336241006851196,10,5542.711111111111
19.2,17,88.1,67.51916445858191,0.0,0.2,0.0,0.1,0.3,0.0,0.0,3,2,0,0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,940,60,214,94.0,54.585305307889925,94.0,0.021832799911499,10,2979.555555555556
22.4,6,79.1,93.64438699075905,0.1,0.0,0.0,0.3,0.6,0.0,0.0,6,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1487,60,441,148.7,128.99272158622836,148.7,0.0124903917312622,10,16639.122222222224
15.2,17,64.0,113.02872942171967,0.1,0.1,0.0,0.0,0.2,0.0,0.0,2,1,1,0,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.1,0.0,0.0,0.9,0.9,662,60,86,66.2,8.560892995995738,66.2,0.0095494985580444,10,73.28888888888888
13.6,17,78.7,103.29398726773466,0.0,0.1,0.0,0.0,0.2,0.0,0.0,2,1,0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,812,60,214,81.2,48.18667404537852,81.2,0.0103511095046997,10,2321.9555555555557
20.0,6,97.0,148.3286475628689,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,963,60,317,96.3,79.59208503362629,96.3,0.0081555843353271,10,6334.899999999999
12.8,17,80.2,147.16029977264435,0.1,0.0,0.0,0.2,0.3,0.0,0.0,3,0,1,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.3,0.0,1.0,1.0,1129,60,396,112.9,101.67972593721262,112.9,0.0067954063415527,10,10338.76666666667
16.8,17,62.5,123.61420075094458,0.1,0.0,0.0,0.0,0.4,0.0,0.0,4,0,1,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.1,0.0,1.0,1.0,662,60,98,66.2,11.56431292093626,66.2,0.0094610929489135,10,133.73333333333332
20.0,6,62.0,108.25770383313932,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,652,60,77,65.2,6.795423296438403,65.2,0.0100293159484863,10,46.17777777777777
19.2,6,57.6,148.14999010992116,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5,0,0,0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,742,60,156,74.2,29.532656124666094,74.2,0.0089164018630981,10,872.1777777777778
10.4,17,64.0,61.84017963904112,0.1,0.0,0.0,0.0,0.1,0.0,0.0,1,0,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,606,60,66,60.6,1.897366596101028,60.6,0.017554497718811,10,3.6000000000000005
7.2,17,76.8,46.63633412055631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,820,60,230,82.0,54.32413009990231,82.0,0.0236331939697265,10,2951.1111111111118
12.8,17,134.7,99.96386880276084,0.1,0.0,0.0,0.3,0.4,0.0,0.0,4,0,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,2285,60,330,228.5,117.35629510171152,228.5,0.0178744077682495,10,13772.5
20.4,6,124.9,32.66202703260437,0.0,0.2,0.0,0.1,0.4,0.0,0.0,4,2,0,0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1466,60,330,146.6,101.39493741471186,146.6,0.0322173833847045,10,10280.933333333334
20.8,6,72.3,101.47247812959664,0.1,0.0,0.0,0.2,0.6,0.0,0.0,6,0,1,0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,1297,60,441,129.7,122.70837153366696,129.7,0.0124274969100952,10,15057.344444444445
25.6,6,91.3,62.06510592772025,0.1,0.2,0.0,0.1,0.6,0.0,0.0,6,2,1,0,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,1073,60,317,107.3,86.94065664450538,107.3,0.0162362098693847,10,7558.677777777777
32.0,6,112.2,92.25590469780352,0.2,0.0,0.0,0.5,1.0,0.0,0.0,10,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,859,66,131,85.9,26.273983752416044,85.9,0.0119240045547485,10,690.3222222222222
11.2,17,88.1,18.716391362882025,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.1,0.1,0.0,0.9,0.9,1148,60,230,114.8,77.638478432626,114.8,0.0539644002914428,10,6027.733333333334
22.4,6,55.7,19.46278441493839,0.0,0.2,0.0,0.2,0.5,0.0,0.0,5,2,0,0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,974,60,262,97.4,64.35353741464239,97.4,0.0652667999267578,10,4141.377777777778
25.6,6,83.7,79.10945132876893,0.2,0.1,0.0,0.1,0.6,0.0,0.0,6,1,2,0,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1215,66,441,121.5,121.20070590186803,121.5,0.0137346029281616,10,14689.611111111111
30.4,6,76.3,32.97979210240765,0.2,0.1,0.0,0.2,0.9,0.0,0.0,9,1,2,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1090,66,317,109.0,89.14407813571616,109.0,0.0332137823104858,10,7946.666666666667
26.0,6,116.6,45.00572456218098,0.0,0.0,0.0,0.3,0.8,0.0,0.0,8,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,965,60,199,96.5,48.44297908079376,96.5,0.0251497030258178,10,2346.722222222222
13.2,17,180.8,19.054737284928542,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.1,0.0,1.0,1.0,1825,60,459,182.5,122.45566090993462,182.5,0.0571347951889038,10,14995.388888888889
12.8,17,87.8,83.20298350542049,0.0,0.1,0.0,0.0,0.1,0.0,0.0,1,1,0,0,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,988,66,178,98.8,32.182811147153274,98.8,0.0127472162246704,10,1035.7333333333331
25.6,6,78.7,63.94155732294244,0.0,0.1,0.0,0.3,0.7,0.0,0.0,7,1,0,0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1537,66,441,153.7,122.0182591072154,153.7,0.0161373853683471,10,14888.455555555556
23.2,6,86.2,105.67819115431324,0.2,0.1,0.0,0.1,0.5,0.0,0.0,5,1,2,0,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,790,60,176,79.0,34.899856733230294,79.0,0.0094813108444213,10,1218.0
12.8,17,83.1,115.44125418354764,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1012,60,230,101.2,56.781843733519054,101.2,0.0099462032318115,10,3224.177777777777
21.6,6,55.9,113.16168753557967,0.0,0.1,0.0,0.2,0.6,0.0,0.0,6,1,0,0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,924,60,317,92.4,79.54621298339727,92.4,0.0106328964233398,10,6327.599999999999
22.4,6,98.4,122.3856766030953,0.1,0.0,0.0,0.3,0.6,0.0,0.0,6,0,1,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1017,60,214,101.7,60.79300032807139,101.7,0.0088281869888305,10,3695.788888888889
14.4,0,32.7,48.01249104266781,0.1,0.0,0.0,0.0,0.4,0.0,0.0,4,0,1,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0,0.0,0.6,0.6,626,60,66,62.6,2.9888682361946524,62.6,0.0215766191482543,10,8.933333333333332
