Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
14.8,6,78.6,20.15556236863072,0.0,0.0,0.1,0.2,0.5,0.0,0.0,5,0,0,1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.1,0.1,0.0,0.9,0.9,1121,60,218,112.1,63.715426354655705,112.1,0.0496140956878662,10,4059.655555555555
21.6,6,119.1,27.49919685086865,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6,0,0,0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.1,0.0,1.0,1.0,1566,60,650,156.6,183.73906619019385,156.6,0.0417121887207031,10,33760.04444444444
19.2,6,111.2,25.81677328496168,0.0,0.0,0.0,0.4,0.5,0.0,0.0,5,0,0,0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,2897,60,1514,289.7,436.771247018645,289.7,0.0395370006561279,10,190769.1222222222
15.6,6,108.3,28.561883340585645,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.1,0.0,1.0,1.0,1682,60,480,168.2,126.9057392975852,168.2,0.0365883111953735,10,16105.066666666664
18.8,6,102.3,567.0200483973449,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1337,60,492,133.7,141.198087805749,133.7,0.0017778873443603,10,19936.900000000005
21.2,6,82.7,12.54584029650785,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,28775,60,11734,2877.5,3694.7656443496735,2877.5,0.0797080039978027,10,13651293.166666666
13.6,17,153.1,52.14415807709665,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.1,0.1,0.0,0.9,0.9,1694,60,230,169.4,68.99307533690931,169.4,0.0234667062759399,10,4760.044444444444
20.0,6,89.5,32.083665442262,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1859,60,545,185.9,135.84341475880728,185.9,0.0637938976287841,10,18453.433333333334
12.0,17,97.0,39.15168170141585,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1064,60,218,106.4,60.42479255699232,106.4,0.0263356924057006,10,3651.155555555555
17.6,17,110.9,64.79580912420768,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,773,60,113,77.3,17.581871977187816,77.3,0.0161669969558715,10,309.12222222222226
